,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
3227,Pennsylvania Real Estate Investment Trust,PRET,YES,,,,,,,-0.14,296.03,-8.806,131.31399,-148.318,-31.52301,63.39599,REIT and Equity Trust - Retail,Finance,5.94,1.11,8.87,,-0.10648586291929872
3236,Prelude Therapeutics,PRLD,YES,-0.7,-0.72,3.0,-2.74,,,,,-115.43801,0.0,-115.43801,-111.52301,204.38,Medical - Drugs,Medical,294.21,6.14,8.82,,
3237,"Perimeter Solutions, SA",PRM,YES,0.03,0.4,1.0,0.15,464.21798,114.66799,-0.51,360.51,139.81199,217.85299,91.758,122.83899,308.522,Chemical - Specialty,Basic Materials,1163.73,7.4,12.09,0.25283453080351365,0.34073670633269537
3243,ProPhase Labs,PRPH,YES,-0.15,-0.14,1.0,-0.47,61.65,14.35,55.17,122.65,23.672,51.993,18.46299,23.52799,60.833,Medical - Drugs,Medical,133.51,7.77,14.7,-0.6878615410941451,0.19183033020790866
3244,Purple Innovation,PRPL,YES,-0.09,0.06,6.0,-0.1,592.99102,138.58999,-20.73,575.69,126.47299,365.10998,-89.68901,-12.61,161.455,Consumer Products - Staples,Consumer Staples,284.38,2.7,6.37,0.02960993417127696,-0.021904149802845278
3245,Transgenomic,PRPO,YES,,,,,,,6.36,9.41,-12.16601,6.90199,-12.20301,1.524,5.71,Medical Info Systems,Medical,15.35,0.6551,1.63,,0.16195536663124335
3247,Peraso ,PRSO,YES,-0.07,-0.05,1.0,-0.26,25.75,6.0,161.81,14.87,-32.382,8.91499,-32.398,-1.089,12.713,Technology Services,Business Services,6.85,0.48,2.57,0.5490888666376815,-0.07323470073974446
3252,CarParts.com,PRTS,YES,0.06,-0.03,1.0,-0.08,694.61297,188.835,13.59,661.6,1.118,430.71398,-0.951,12.817,167.871,Automotive - Original Equipment,Auto-Tires-Trucks,272.93,4.98,9.09,0.04869366904349459,0.01937273276904474
3253,Party City Holdco,PRTYQ,YES,,,,,,,17.31,2171.06,86.35199,1403.00402,-6.528,154.697,698.48297,Consumer Products - Discretionary,Consumer Discretionary,6.24,0.0551,3.73,,0.07125413392536364
3258,Prospect Capital,PSEC,YES,0.25,0.25,1.0,0.93,871.85998,231.24,12.49,710.9,700.0,219.86099,582.58398,442.651,49.367,Financial - Investment Management,Finance,2749.04,6.87,8.41,0.2040970646857591,0.6226628217752146
3262,Personalis,PSNL,YES,-0.58,-0.53,2.0,-2.26,69.79499,17.49699,-23.92,65.05,-113.074,51.69699,-113.31501,-104.826,199.699,Medical - Generic Drugs,Medical,114.6,2.45,6.17,0.0704060257294579,-1.611468101460415
3263,Polestar Automotive Holding UK PLC,PSNY,YES,,,,,,,84.11,2461.9,-340.57001,2342.45288,-465.78901,158.39199,2180.33398,Automotive - Foreign,Auto-Tires-Trucks,7815.55,3.69,13.0,,0.06433729639709167
3277,Peloton Interactive,PTON,YES,-0.39,-0.36,6.0,-3.12,2749.7351,632.16302,-10.93,3582.1,-2765.1001,2883.80004,-2827.69996,-1133.80005,2634.60009,Leisure and Recreation Products,Consumer Discretionary,3280.27,9.48,20.47,-0.26444464084745556,-0.31651825744674916
3278,Petros Pharmaceuticals,PTPI,YES,,,,,,,-23.29,5.99,-19.442,2.289,-20.03801,13.059,14.668,Medical - Drugs,Medical,11.09,5.31,14.1,,2.180133555926544
3279,Proterra,PTRA,YES,-0.19,-0.18,1.0,-0.84,501.95999,117.77999,27.38,309.36,-209.362,333.35501,-237.95,-213.773,665.71997,Automotive - Domestic,Auto-Tires-Trucks,264.89,1.17,7.3,0.48401476802115934,-0.6910169381949831
3280,Pactiv Evergreen,PTVE,YES,0.37,0.24,1.0,0.63,6102.49023,1613.22998,14.4,6220.0,686.0,5223.0,318.0,470.39999,2219.0,Consumer Services - Miscellaneous,Consumer Discretionary,1439.49,8.09,12.31,-0.019072984450595156,0.07562700803858521
3283,ProPetro Holding,PUMP,YES,0.55,0.61,5.0,2.18,1744.026,435.64599,46.33,1279.7,8.991,882.82,2.02999,130.923,328.785,Oil and Gas - Field Services,Oils-Energy,790.07,6.86,15.32,0.30957055817112844,0.10230757208720793
3284,Provident Bancorp,PVBC,YES,,,,0.8,,,22.16,85.48,,,-21.46801,-21.46801,,Banks - Northeast,Finance,126.69,7.16,16.61,,-0.25114658399625645
3286,PERMIANVILLE ROYALTY TRUST,PVL,YES,,,,,,,258.04,15.03,13.48099,0.0,13.48099,13.48099,0.92299,Oil and Gas - Royalty Trust - United States,Oils-Energy,91.08,2.76,5.68,,0.8969387890884898
3287,PowerFleet,PWFL,YES,0.02,0.04,1.0,0.17,144.17999,35.415,7.09,135.16,-7.699,70.986,-6.99901,15.65699,81.22499,Transportation - Services,Transportation,99.47,2.75,3.79,0.06460318777259369,0.11584041136430898
3288,Perella Weinberg Partners,PWP,YES,,,,,,,-21.23,631.51,-21.144,545.49102,17.878,81.096,385.544,Financial - Miscellaneous Services,Finance,805.79,9.23,11.4,,0.12841601874871342
3293,Pixelworks,PXLW,YES,-0.1,-0.05,1.0,-0.37,58.29999,13.5,27.3,70.15,-16.11701,34.26499,-16.03001,-5.995,72.373,Electronics - Semiconductors,Computer and Technology,83.85,1.505,2.5,-0.18503388471862467,-0.08545972915181753
3295,PolyPid,PYPD,YES,-0.16,-0.11,1.0,-0.89,,,,,-39.42801,0.0,-39.557,-37.80401,14.194,Medical - Drugs,Medical,8.41,0.43,6.4,,
3297,PyroGenesis Canada,PYR,YES,,,,,,,-41.0,14.63,-24.26001,8.361,-24.74301,-22.92701,21.113,Manufacturing - General Industrial ,Industrial Products,134.11,0.751,3.07,,-1.5671230348598768
3298,Pyxis Oncology,PYXS,YES,-0.8,-0.74,2.0,-3.65,,,,,-120.71701,0.0,-120.71701,-120.00801,186.61199,Medical - Drugs,Medical,122.41,3.31,6.0,,
3300,D-WAVE QUANTUM,QBTS,YES,-0.11,-0.12,2.0,-0.46,12.63,2.88499,14.24,7.17,-46.896,2.923,-51.529,-49.371,13.925,Internet - Software,Computer and Technology,62.46,0.5601,12.4,0.5661692817508708,-6.8857740585774065
3303,Qudian,QD,YES,,,,,,,-67.74,83.73,132.82,55.54299,-52.47901,-47.537,1603.33605,Financial - Consumer Loans,Finance,,1.27,1.67,,-0.5677415502209483
3307,Quipt Home Medical,QIPT,YES,0.03,0.06,3.0,0.22,222.14999,61.76699,36.65,139.86,4.62599,33.213,4.839,27.87899,41.53599,Medical - Products,Medical,214.85,5.86,7.22,0.4627108620915659,0.19933497783497783
3308,QIWI,QIWI,YES,,,,,,,32.24,732.2,269.87799,257.00201,194.16099,205.95799,1377.58398,Financial Transaction Services,Business Services,,5.67,5.67,,0.2812865200764818
3309,Qualigen Therapeutics,QLGN,YES,,,,,6.4,,,5.65,0.0,0.0,0.0,-22.282,20.79599,Medical - Drugs,Medical,4.08,0.97,6.15,0.12464244520727659,-3.9437168141592918
3311,Quantum,QMCO,YES,-0.01,0.0,3.0,0.04,424.46301,103.263,6.65,372.83,-19.05101,225.792,-32.28,4.677,145.197,Computer- Storage Devices,Computer and Technology,102.58,0.975,2.17,0.12970231246876088,0.012544591368720328
3313,Quanergy Systems,QNGYQ,YES,,,,,,,,,17.568,0.0,17.568,17.568,0.07839,Computers - IT Services,Computer and Technology,0.64,0.0397,38.0,,
3316,Quest Resource,QRHC,YES,-0.01,0.03,1.0,0.01,296.42001,73.68,82.41,284.04,1.406,235.182,-6.048,5.19649,57.76499,Waste Removal Services,Business Services,109.67,5.56,9.4,0.04266232795079058,0.018294923250246443
3317,Qurate Retail Group,QRTEA,YES,,,,0.02,,,-13.8,12106.0,-1852.0,8417.0,-2594.0,539.0,4275.0,Internet - Commerce,Retail-Wholesale,276.06,0.7212,4.53,,0.0445233768379316
3319,QuantumScape,QS,YES,-0.22,-0.22,2.0,-0.9,,,,,-409.49701,0.0,-411.90702,-371.784,1072.32397,Automotive - Original Equipment,Auto-Tires-Trucks,3247.88,7.45,16.5,,
3320,QuantumSi Incorporated,QSI,YES,,,,,,,,,-132.44201,0.0,-132.44201,-110.892,358.182,Electronics - Semiconductors,Computer and Technology,223.91,1.6,4.54,,
3322,Quotient Limited,QTNTQ,YES,,,,,,,-11.22,38.51,-92.215,23.569,-125.13,-106.69301,101.75399,Medical - Instruments,Medical,0.16,0.04,29.99,,-2.770527395481693
3324,Qutoutiao,QTT,YES,,,,,,,-11.72,676.18,-188.064,183.85299,-194.523,-168.696,292.268,Internet - Software,Computer and Technology,5.6,0.182,1.7,,-0.24948386524298266
3326,Quad Graphics,QUAD,YES,,,,,,,8.67,3217.0,66.09999,2618.80004,9.3,190.39999,704.5,Commercial Printing,Industrial Products,200.87,3.76,6.86,,0.05918557351569786
