,Company Name,tick,Optionable,Q1 Consensus Est. ,Q2 Consensus Est. (next fiscal Qtr),# of Analysts in Q2 Consensus,F1 Consensus Est.,F(1) Consensus Sales Est. ($mil),Q(1) Consensus Sales Est. ($mil),Sales Growth F(0)/F(-1),Annual Sales ($mil),EBIT ($mil),Cost of Goods Sold ($mil),Net Income  ($mil),Cash Flow ($mil),Current Assets  ($mil),Industry,Sector,Market Cap (mil),Last Close,52 Week High,sales_growth_f1,fcf_margin
1146,Diebold Nixdorf,DBD,YES,0.37,0.54,2.0,1.66,3845.83007,927.34497,-11.38,3460.7,-239.4,2703.3999,-581.40003,99.4,1770.90002,Financial Transaction Services,Business Services,62.45,0.7844,5.51,0.1055185818771025,0.028722512786430496
1147,Designer Brands,DBI,YES,0.28,0.61,2.0,1.74,3219.13696,771.04998,3.72,3315.43,174.39799,2236.20288,162.67599,214.96499,789.93103,Retail - Apparel and Shoes,Retail-Wholesale,575.43,9.04,18.83,-0.029474029863079787,0.06483774050424831
1152,Dakota Gold Corp.,DC,YES,,,,,,,,,0.0,0.0,0.0,0.134,41.873,Mining - Gold,Basic Materials,247.71,3.29,4.69,,
1154,Tritium DCFC,DCFC,YES,-0.25,-0.13,2.0,-0.73,142.88699,46.79,52.82,85.82,-109.406,86.161,-127.562,-125.364,177.56399,Automotive - Original Equipment,Auto-Tires-Trucks,163.81,1.07,10.35,0.5098019585406124,-1.460778373339548
1155,Motion Acquisition,DCGO,YES,0.05,0.09,3.0,0.29,505.80599,122.023,38.21,440.52,22.01899,285.79501,34.58499,46.89799,271.08099,Medical Services,Medical,875.42,8.54,11.1,0.13819732949454203,0.10646052392626897
1161,Delcath Systems,DCTH,YES,-0.41,-0.42,2.0,-1.58,6.69999,0.77499,-23.52,2.72,-33.82301,0.68599,-36.508,-35.60801,16.155,Medical - Instruments,Medical,60.57,6.02,6.35,0.9014741535505869,-13.091180147058823
1163,3D Systems,DDD,YES,-0.06,-0.04,3.0,-0.21,555.65002,143.71,-12.61,538.03,-117.019,323.798,-123.307,9.303,834.24499,Computer - Mini computers,Computer and Technology,1190.15,9.13,14.22,0.032224314936614276,0.01729085738713455
1164,Dingdong Cayman,DDL,YES,,,,0.04,3732.31494,,13.5,3583.6,-96.62301,2426.43994,-118.073,-58.32601,1086.854,Internet - Commerce,Retail-Wholesale,928.38,3.93,6.47,0.0406607867507783,-0.01627581482308293
1176,Despegar.com,DESP,YES,-0.02,0.07,1.0,0.12,616.625,146.82,66.64,537.97,-95.88801,157.003,-68.529,-67.58101,465.10598,Transportation - Services,Transportation,389.72,5.47,11.58,0.13645826302866487,-0.12562226518207337
1179,DRAGONFLY EGY,DFLI,YES,-0.15,-0.03,1.0,-0.45,120.94999,23.79999,10.58,86.25,-33.335,62.247,-39.571,-17.02001,73.48899,Electronics - Miscellaneous Products,Computer and Technology,227.6,4.97,25.08,0.3381270984657708,-0.1973334492753623
1184,Digital Ally Inc./NV,DGLY,YES,,,,,,,72.84,37.01,-18.837,34.68799,-19.282,-16.696,24.95899,Security and Safety Services,Industrial Products,10.08,3.66,23.6,,-0.4511213185625507
1187,Diversified Healthcare Trust,DHC,YES,0.07,0.09,1.0,0.34,1439.77099,355.85299,-7.2,1283.57,188.264,1109.06994,-15.77401,232.40899,697.018,REIT and Equity Trust - Other,Finance,230.67,0.9624,2.61,0.1148388080047895,0.18106452316585772
1190,DHT,DHT,YES,0.15,0.18,1.0,1.14,393.04998,76.66999,53.5,454.15,88.76399,259.311,61.52,174.79299,235.589,Transportation - Shipping,Transportation,1572.82,9.65,12.05,-0.14449076059256968,0.38487942309809536
1191,DHI Group,DHX,YES,0.01,0.02,2.0,0.06,164.811,40.72999,24.83,149.68,5.177,17.607,4.176,19.94799,27.794,Internet - Content,Computer and Technology,182.93,3.79,7.22,0.09629968085483259,0.13327091127739177
1193,1stdibs.com,DIBS,YES,-0.25,-0.24,2.0,-0.92,85.93,20.84,-5.73,96.85,-22.49,29.67,-22.53801,-26.661,162.46299,Internet - Commerce,Retail-Wholesale,151.32,3.83,8.23,-0.11963037852787307,-0.27528136293236966
1195,DiDi Global,DIDIY,YES,,,,,,,26.09,27277.0,-7672.01124,24615.25976,-7743.09717,-6902.3628,10790.87011,Medical Services,Medical,16746.43,3.45,4.83,,-0.25304699197125785
1200,DISH Network,DISH,YES,0.33,0.2,5.0,1.3,16058.82714,4012.29003,-6.72,16679.41,3127.42407,11371.08007,2303.23291,3020.3059,4610.10986,Cable Television,Consumer Discretionary,4026.13,7.58,31.49,-0.0379163486384862,0.18107990030822432
1207,Dynagas LNG Partners,DLNG,YES,0.21,0.14,1.0,0.88,136.86999,33.68,-4.42,131.66,81.092,45.52399,54.00999,64.66899,119.174,Transportation - Services,Transportation,97.99,2.66,4.39,0.038808655121412,0.4911817560382804
1209,Dolphin Digital Media,DLPN,YES,,,,,,,13.38,40.51,-3.8,3.56599,-4.78001,-2.0351,23.864,Technology Services,Business Services,23.6,1.87,5.11,,-0.05023697852382128
1211,Duluth Holdings,DLTH,YES,-0.11,0.04,2.0,0.04,651.34997,118.8,-6.48,653.31,6.60699,309.872,2.30399,33.11399,225.897,Textile - Apparel,Consumer Discretionary,180.67,6.01,12.8,-0.003004662547583428,0.050686488803171545
1214,Desktop Metal,DM,YES,-0.06,-0.05,2.0,-0.2,242.345,59.866,85.95,209.02,-740.09803,193.95199,-740.34302,418.419,336.41598,Manufacturing - Print,Industrial Products,675.89,2.12,4.05,0.1479323895938575,2.001813223614965
1218,DermTech,DMTK,YES,-0.88,-0.76,2.0,-3.42,20.76,4.59,22.64,14.52,-116.683,13.871,-116.683,-111.821,136.037,Medical Services,Medical,125.29,4.03,10.66,0.35750104890103795,-7.7011707988980715
1222,Danimer Scientific,DNMR,YES,-0.16,-0.27,1.0,-1.26,84.4,19.7,-9.41,53.22,-178.84501,63.63199,-179.758,-92.57701,125.07099,Industrial Services,Industrial Products,375.13,3.68,5.81,0.46113313605236844,-1.7395154077414507
1223,Denison Mine Corp,DNN,YES,-0.01,-0.01,1.0,-0.04,10.5,,-21.78,12.48,9.29599,8.942,11.041,17.23999,51.659,Mining - Miscellaneous,Basic Materials,852.21,1.02,1.51,-0.17275210577780392,1.381409455128205
1231,Dogness International,DOGZ,YES,,,,,,,11.41,27.09,0.238,16.95599,3.236,6.6943,23.35499,Consumer Products - Discretionary,Consumer Discretionary,26.54,0.8788,6.5,,0.24711332595053526
1233,Doma Holdings,DOMA,YES,,,,,,,-21.12,440.18,-285.37101,261.47601,-302.20902,-121.518,259.678,Technology Services,Business Services,122.02,0.3696,2.09,,-0.27606433731655233
1238,Douglas Elliman Inc.,DOUG,YES,-0.01,-0.06,1.0,-0.28,896.91998,223.05999,-14.78,1153.18,0.104,836.80297,-5.62201,1.80099,203.832,Real Estate - Operations,Finance,260.0,3.08,6.75,-0.25131197296161917,0.0015617596559080109
1242,DouYu International,DOYU,YES,-0.01,-0.01,2.0,-0.04,774.90002,182.08999,-28.34,1030.6,-94.95701,887.04498,-10.936,1.07099,1026.09594,Gaming,Consumer Discretionary,339.71,1.07,1.96,-0.28516242131443764,0.0010391907626625268
1243,Draganfly,DPRO,YES,-0.11,-0.11,2.0,-0.44,8.295,1.76999,-24.15,4.27,-21.306,5.242,-21.272,-19.946,10.397,Computers - IT Services,Computer and Technology,38.48,1.1,2.28,0.6640390964018748,-4.6711943793911015
1247,DiamondRock Hospitality,DRH,YES,0.34,0.27,6.0,1.01,1059.77197,293.622,76.59,1001.5,150.595,696.755,109.328,220.46299,283.88598,REIT and Equity Trust - Other,Finance,1711.03,8.11,11.08,0.05655488621653602,0.22013279081377932
1249,DarioHealth,DRIO,YES,-0.48,-0.44,2.0,-1.72,31.725,7.07,34.82,27.66,-56.81001,18.00099,-62.19301,-57.47601,65.524,Medical - Instruments,Medical,91.85,3.55,7.45,0.13711768736383925,-2.0779468546637743
1251,DURECT,DRRX,YES,-0.51,-0.52,2.0,-1.91,17.347,4.01499,37.96,19.28,-32.934,1.588,-35.33301,-34.71901,51.394,Medical - Drugs,Medical,108.47,4.43,9.1,-0.10564870840312765,-1.8007785269709542
1253,DIRTT Environmental Solutions,DRTT,YES,,,,,,,16.65,172.16,-49.78201,144.001,-54.96301,-39.84401,62.125,Building Products - Miscellaneous,Construction,38.27,0.3907,1.28,,-0.2314359316914498
1255,Diversey Holdings,DSEY,YES,0.09,0.1,1.0,0.41,2895.41503,740.44,5.61,2765.9,-73.5,1890.09997,-169.30001,275.79998,1205.30004,Chemical - Specialty,Basic Materials,2648.54,8.16,10.48,0.045762382417870735,0.09971437145233016
1258,Drive Shack,DSHK,YES,,,,,,,28.13,281.86,-19.285,235.074,-31.369,-13.171,67.329,Leisure and Recreation Services,Consumer Discretionary,29.36,0.3178,1.93,,-0.04672887248988859
1259,Daseke,DSKE,YES,0.26,0.28,2.0,0.76,1791.09997,475.14999,13.91,1773.3,105.19999,857.59997,50.2,144.3,378.20001,Transportation - Services,Transportation,358.73,7.95,9.32,0.00998772198329561,0.08137371003214347
1260,Viant Technology,DSP,YES,-0.06,-0.01,1.0,-0.11,134.0,29.7,-12.03,197.17,-49.57,0.0,-11.91301,4.07899,314.86199,Technology Services,Business Services,267.29,4.33,6.73,-0.386226500827265,0.020687680681645282
1261,Diana Shipping,DSX,YES,,,,0.83,285.70001,71.3,35.37,289.97,146.48199,78.97499,119.063,164.675,140.56399,Transportation - Shipping,Transportation,413.69,4.03,6.54,-0.014835125115038823,0.567903576232024
1263,Solo Brands,DTC,YES,0.21,0.14,3.0,0.96,534.03997,136.34399,28.22,517.63,-0.348,199.45199,-4.94501,90.43399,195.098,Internet - Commerce,Retail-Wholesale,779.77,8.12,8.45,0.03120998502471105,0.17470778355195796
1265,DavidsTea,DTEAF,YES,,,,,,,-8.78,83.03,61.707,48.60499,62.38399,2.23589,50.70999,Beverages - Soft drinks,Consumer Staples,14.61,0.55,2.49,,0.026928700469709743
1280,Destination XL Group,DXLG,YES,,,,,,,8.08,545.84,58.58599,273.23999,89.123,69.08,154.01199,Retail - Apparel and Shoes,Retail-Wholesale,291.18,4.65,7.43,,0.1265572328887586
1282,The Dixie Group,DXYN,YES,,,,,,,-11.04,303.57,-28.16201,249.94599,-35.079,-25.79101,119.87899,Textile - Home Furnishing,Consumer Discretionary,11.28,0.724,2.95,,-0.08495902098362816
1286,DZS,DZSI,YES,0.07,0.25,3.0,0.69,431.915,102.91,7.28,375.69,-33.99001,257.33499,-37.431,4.438,295.70001,Communication - Infrastructure,Computer and Technology,202.79,6.52,19.54,0.13946447438115775,0.011812930873858766
1289,GrafTech International,EAF,YES,,,,,,,-4.8,1281.25,488.88598,726.37298,382.962,435.16198,815.22802,Metal Products - Procurement and Fabrication,Industrial Products,1239.76,4.83,9.94,,0.3396386185365854
1290,Eargo,EAR,YES,-1.85,-1.87,1.0,-7.5,34.2,8.39999,15.96,37.25,-156.838,22.988,-157.487,-142.064,116.02999,Medical - Instruments,Medical,109.1,5.26,86.8,-0.08542630075700902,-3.8137986577181207
1291,Ellington Residential Mortgage REIT,EARN,YES,0.26,0.28,1.0,1.07,12.01,2.96,-21.27,20.19,-30.198,2.15899,-30.198,16.111,72.093,REIT and Equity Trust,Finance,99.42,7.21,9.09,-0.519447796232854,0.7979692917285784
1292,Eastside Distilling,EAST,YES,-0.13,-0.11,1.0,-0.5,22.73999,6.55,11.15,14.33,-14.05001,11.442,-16.26601,-13.591,6.61999,Beverages - Alcohol,Consumer Staples,3.39,0.2049,1.0,0.46176980672847484,-0.9484298674110258
1294,Eventbrite,EB,YES,-0.12,-0.1,4.0,-0.44,323.79598,79.458,39.43,260.93,-43.989,90.746,-55.384,-37.31901,683.15899,Internet - Services,Computer and Technology,788.53,7.99,12.69,0.21586145397830497,-0.14302307132181044
1297,EBET,EBET,YES,,,,,,,35413.33,58.6,-31.53301,36.01399,-41.42801,-25.24501,10.152,Technology Services,Business Services,9.25,0.3679,4.74,,-0.43080221843003413
1300,Ebang International,EBON,YES,,,,,,,170.73,51.45,2.39339,22.22699,4.431,10.689,298.832,Manufacturing - Tools & Related Products,Industrial Products,27.56,5.88,30.63,,0.20775510204081632
1316,Emerald Holding,EEX,YES,,,,,,,123.99,325.9,182.5,116.5,130.8,202.99099,331.79998,Consumer Services - Miscellaneous,Consumer Discretionary,246.4,3.92,4.44,,0.6228628106781222
1322,Enerflex Ltd.,EFXT,YES,,,,,,,70.95,1309.57,-61.33101,1119.24902,-77.645,93.57099,1112.302,Oil and Gas - Exploration and Production - Canadian,Oils-Energy,723.87,5.85,7.56,,0.0714516902494712
1323,eGain,EGAN,YES,0.07,0.06,1.0,0.19,99.0,25.15999,17.45,91.95,-1.206,24.537,-2.441,11.94499,104.135,Internet - Software,Computer and Technology,231.03,7.19,10.52,0.07387489908425986,0.1299074497009244
1325,8x8,EGHT,YES,0.11,0.12,1.0,0.43,772.359,192.641,19.87,638.13,-175.77001,247.55799,-175.383,113.026,275.622,Internet - Software,Computer and Technology,357.23,3.16,10.33,0.19090744349680494,0.1771206493974582
1326,"Edgio, Inc.",EGIO,YES,-0.06,-0.02,4.0,-0.15,450.20001,108.232,-5.46,217.63,-48.362,157.281,-54.76101,9.27799,134.59899,Internet - Software,Computer and Technology,135.83,0.613,5.02,0.726895577559006,0.04263194412535037
1328,Enthusiast Gaming,EGLX,YES,-0.06,-0.04,2.0,-0.15,166.917,34.845,17.5,156.02,-57.891,107.205,-59.098,-27.58601,36.80099,Gaming,Consumer Discretionary,78.04,0.5142,2.51,0.06751247872015007,-0.1768107293936675
1332,Vaalco Energy,EGY,YES,0.55,0.57,1.0,2.19,640.79498,150.16999,77.99,354.33,123.382,112.661,51.88999,152.429,200.097,Oil and Gas - Exploration and Production - International,Oils-Energy,441.08,4.11,8.6,0.5924808794740454,0.4301893714898541
1336,eHealth,EHTH,YES,-0.94,-0.85,2.0,-0.78,424.13,61.72999,-24.68,405.36,-106.389,1.64699,-88.72201,-36.48301,150.27299,Insurance - Brokerage,Finance,236.37,8.56,12.0,0.04526445084455653,-0.0900015048352082
1340,Ekso Bionics,EKSO,YES,-0.23,-0.23,1.0,-0.91,16.1,4.4,14.81,12.91,-14.924,6.69799,-15.08,-14.193,31.037,Medical - Instruments,Medical,22.15,1.66,2.55,0.22081706713186622,-1.099380325329202
1342,Envela,ELA,YES,0.08,0.07,1.0,0.26,195.08999,48.16999,29.6,182.69,14.864,137.85899,15.689,17.141,48.89199,Retail - Jewelry,Retail-Wholesale,,6.64,8.37,0.06567021194229682,0.0938256062181838
1343,Elanco Animal Health,ELAN,YES,0.19,0.16,6.0,0.78,4330.35205,1080.60302,-7.28,4418.0,169.0,1913.0,-78.0,1230.0,3279.0,Medical - Outpatient and Home Healthcare,Medical,4910.64,9.98,26.05,-0.020038261438702493,0.27840651878678135
1348,Electric Last Mile Solutions,ELMSQ,YES,,,,,,,,,-29.36101,0.0,-29.36101,-29.36101,1.713,Automotive - Domestic,Auto-Tires-Trucks,7.75,0.0625,1.09,,
1350,Companhia Paranaense de Energia COPEL,ELP,YES,,,,0.67,,,-52.23,4247.4,569.03399,3775.22509,222.62399,262.68798,1806.68798,Utility - Electric Power,Utilities,4044.63,7.39,8.06,,0.06184677214295804
1354,Elys Game Technology,ELYS,YES,-0.11,-0.14,1.0,-0.38,48.58,11.52999,-6.3,42.68,-19.63401,0.0,-18.258,1.8322,6.82499,Gaming,Consumer Discretionary,18.24,0.47,1.63,0.12948149714047388,0.042928772258669166
1355,eMagin,EMAN,YES,-0.01,-0.02,1.0,-0.06,32.9,7.69999,17.22,30.53,-0.14001,20.207,-1.10301,0.40999,23.926,Electronics - Semiconductors,Computer and Technology,159.14,1.93,2.47,0.07476285102453968,0.01342908614477563
1358,Embark Technology,EMBK,YES,,,,,,,,,-102.80301,0.0,-103.16301,5.07499,165.57299,Automotive - Original Equipment,Auto-Tires-Trucks,61.83,2.64,111.2,,
1360,EMCORE,EMKR,YES,-0.13,-0.11,1.0,-0.61,117.0,30.5,-21.66,124.13,-24.47201,94.40799,-24.33301,-7.864,92.93699,Electronics - Manufacturing Machinery,Computer and Technology,40.73,1.07,3.61,-0.05915546873010032,-0.06335293643760574
1364,EMX Royalty,EMX,YES,,,,0.18,31.12,,142.82,18.28,13.54199,0.0,3.34899,14.659,38.82099,Mining - Miscellaneous,Basic Materials,222.0,2.0,2.23,0.532043133284187,0.8019146608315099
1366,Endo International,ENDPQ,YES,,,,,,,-22.53,2318.88,-2538.32593,1092.49902,-2923.10499,864.893,2076.76806,Medical - Drugs,Medical,16.47,0.07,2.35,,0.3729787656109846
1367,Enfusion,ENFN,YES,0.05,0.05,5.0,0.19,187.67799,45.262,34.6,150.35,-12.60201,47.09999,-7.654,12.85099,96.80799,Internet - Software,Computer and Technology,1000.56,8.68,15.13,0.22176176569460768,0.08547382773528434
1368,ENGlobal,ENG,YES,,,,,,,10.38,40.19,-18.25201,44.401,-18.514,-17.581,19.169,Engineering - R and D Services,Construction,12.33,0.31,1.77,,-0.4374471261507838
1369,Enersis Chile,ENIC,YES,,,,,,,46.22,5427.29,150.60299,3739.47705,1377.29003,1371.03002,1648.72802,Utility - Electric Power,Utilities,3679.66,2.66,2.84,,0.25261779267369167
1371,Enlivex Therapeutics,ENLV,YES,-0.46,-0.41,1.0,-1.75,,,,,-31.06,0.0,-31.06,-30.28301,52.33,Medical - Drugs,Medical,54.96,2.96,6.8,,
1379,ENSERVCO,ENSV,YES,,,,,,,41.12,21.64,-4.192,20.229,-5.575,-1.12801,5.96,Oil and Gas - Field Services,Oils-Energy,8.44,0.4675,3.09,,-0.05212615526802218
1388,Evolus,EOLS,YES,-0.08,-0.11,3.0,-0.35,187.865,47.41199,49.1,148.62,-65.22001,55.887,-74.41201,-51.204,100.802,Medical - Products,Medical,516.17,9.15,13.94,0.23433090704764054,-0.344529672991522
1389,Eos Energy Enterprises,EOSE,YES,-0.36,-0.3,3.0,-1.41,42.25199,4.9625,289.82,17.92,-210.94901,153.25999,-229.81301,-220.24801,55.14699,Industrial Services,Industrial Products,267.89,2.34,3.17,0.8577340457389163,-12.290625558035712
1394,ESSA Pharma,EPIX,YES,-0.24,-0.26,3.0,-0.84,,,,,-35.21501,0.0,-35.10301,-34.981,169.059,Medical - Drugs,Medical,122.58,2.78,6.04,,
1395,Evolution Petroleum,EPM,YES,0.14,0.17,1.0,0.92,129.3,27.47999,233.09,108.93,41.713,48.657,32.62799,40.68099,36.368,Oil and Gas - Exploration and Production - United States,Oils-Energy,219.84,6.52,8.53,0.17142981168345778,0.3734599283943817
1399,Epsilon Energy,EPSN,YES,,,,,,,64.99,69.96,47.56299,9.416,35.35499,41.79399,55.464,Oil and Gas - Integrated - United States,Oils-Energy,115.55,5.04,7.79,,0.5973983704974272
1408,EQRx,EQRX,YES,,,,-0.58,,,,,-169.08901,0.0,-169.08901,-276.056,1428.08605,Medical - Drugs,Medical,903.91,1.85,5.99,,
1410,Equinox Gold,EQX,YES,-0.13,-0.03,1.0,-0.04,1108.0,,-12.02,952.2,-58.05501,867.22601,-106.02701,98.037,655.09497,Mining - Gold,Basic Materials,1560.67,5.0,8.14,0.15153677054681072,0.10295841209829867
1413,Ericsson,ERIC,YES,0.05,0.11,3.0,0.43,26973.6621,6300.43994,-0.57,26930.57,2677.68188,15682.66992,1855.54797,3080.31494,17223.88085,Wireless Equipment,Computer and Technology,17683.05,5.31,8.53,0.0015988395530692103,0.11437986422121775
1428,Esperion Therapeutics,ESPR,YES,-0.65,-0.54,5.0,-2.27,105.57199,23.63199,-3.79,75.47,-176.849,26.96699,-233.659,-231.25901,246.68299,Medical - Drugs,Medical,98.01,1.28,8.56,0.3356578635792645,-3.064250828143633
1429,Empire State Realty Trust,ESRT,YES,,,,0.85,,,16.5,727.04,165.964,167.261,40.643,270.40798,578.96801,REIT and Equity Trust - Other,Finance,986.43,6.1,9.07,,0.37192999009683103
1441,Equitrans Midstream,ETRN,YES,0.11,0.12,2.0,0.46,1469.52099,360.45999,3.09,1357.75,143.639,154.667,-269.34202,595.69201,389.70199,Oil and Gas - Integrated - United States,Oils-Energy,2072.22,4.77,9.83,0.07910757261199511,0.43873467869637267
1443,E2open,ETWO,YES,,,,0.29,,,28.95,425.56,-186.301,222.97599,-165.77601,245.962,356.138,Internet - Software,Computer and Technology,2010.14,6.65,9.15,,0.5779725538114484
1448,Entravision Communications,EVC,YES,,,,,,,25.79,956.21,42.604,746.52697,18.11899,56.206,407.923,Broadcast Radio and Television,Consumer Discretionary,548.18,6.25,7.04,,0.058779975110069965
1450,EverQuote,EVER,YES,-0.24,-0.2,6.0,-0.8,419.203,100.507,-3.44,404.13,-24.41601,23.97999,-24.41601,-18.56801,80.97399,Insurance - Multi line,Finance,262.48,8.05,18.22,0.03661868109118811,-0.045945636305149334
1451,Eve,EVEX,YES,,,,-0.42,,,,,-173.09701,0.0,-174.03,-62.975,312.207,Aerospace - Defense,Aerospace,2015.51,7.49,12.38,,
1453,EVgo,EVGO,YES,-0.14,-0.14,1.0,-0.98,137.55,30.503,145.74,54.59,-106.201,60.23899,-27.57501,8.343,275.484,Automotive - Original Equipment,Auto-Tires-Trucks,1646.64,6.21,12.02,0.9241367715769173,0.15283018867924528
1456,Evolv Technologies,EVLV,YES,-0.11,-0.13,1.0,-0.47,60.11,14.31499,132.97,55.19,-85.69401,53.46599,-86.406,-66.97101,292.58401,Computers - IT Services,Computer and Technology,466.52,3.15,3.89,0.08539443959966078,-1.2134627649936585
1461,Vertical Aerospace,EVTL,YES,,,,-0.58,,,,0.18,-116.73201,0.0,-116.73201,-114.56801,177.343,Aerospace - Defense,Aerospace,417.71,1.95,11.05,,-636.4889444444444
1462,ADOMANI,EVTV,YES,,,,,,,2202.36,2.04,-7.43101,1.281,-7.652,-7.5817,23.023,Automotive - Domestic,Auto-Tires-Trucks,40.99,2.7322,7.4,,-3.716519607843137
1481,Exscientia,EXAI,YES,,,,,50.66799,,-11.08,32.9,-173.538,41.185,-146.855,-133.83001,685.27398,Medical - Drugs,Medical,683.01,5.65,15.97,0.4318216924868131,-4.067781458966565
1485,Expensify,EXFY,YES,0.1,0.1,2.0,0.41,184.393,45.979,18.66,169.49,-15.23201,62.66899,-27.00901,31.419,187.115,Financial Transaction Services,Business Services,576.73,8.45,24.3,0.0842754214175483,0.18537376836391528
1486,Endeavour Silver,EXK,YES,0.05,0.04,2.0,0.13,204.56599,53.87699,27.12,210.16,26.249,113.87999,6.201,33.026,146.33299,Mining - Silver,Basic Materials,761.88,4.01,4.8,-0.02697853246093007,0.15714693566806245
1493,Express,EXPR,YES,-0.79,-0.12,2.0,-1.0,1960.31005,389.42999,-0.33,1864.18,343.39001,1335.58801,293.83401,-20.278,534.40399,Retail - Apparel and Shoes,Retail-Wholesale,64.22,0.8707,4.02,0.05028137138265302,-0.01087770494265575
1499,EZCORP,EZPW,YES,0.13,0.19,2.0,0.75,1001.08502,238.66499,21.48,886.22,77.68499,358.078,50.15999,140.03399,644.16302,Financial - Consumer Loans,Finance,483.61,8.69,10.56,0.12187448399363393,0.15801267179707068
1505,Fanhua,FANH,YES,,,,,,,-21.43,403.3,58.23199,260.33801,14.538,25.954,332.53698,Insurance - Brokerage,Finance,471.08,8.77,9.45,,0.0643540788494917
1506,Farmer Brothers,FARM,YES,-0.36,,,-1.88,513.40002,125.4,17.93,469.19,-6.44601,332.277,-15.66101,8.149,165.09199,Food - Natural Foods Products,Retail-Wholesale,62.85,3.15,6.75,0.09004750371379645,0.01736823035444063
1511,Fathom Digital Manufacturing,FATH,YES,,,,,145.41999,33.09999,5.88,161.14,-1108.13501,108.623,-488.585,1218.07495,58.65999,Metal Products - Procurement and Fabrication,Industrial Products,67.3,0.494,7.29,-0.10264751389347332,7.5591097803152545
1513,FAZE HOLDINGS,FAZE,YES,,,,,,,32.49,70.02,-164.051,54.87599,-168.534,3.17499,58.72299,Gaming,Consumer Discretionary,42.66,0.58,20.08,,0.04534404455869752
1525,FuelCell Energy,FCEL,YES,-0.08,-0.08,4.0,-0.28,126.98899,23.711,87.52,130.48,-140.019,160.059,-142.72201,-97.448,580.28002,Alternative Energy - Other,Oils-Energy,827.69,2.04,5.17,-0.02711956852560069,-0.7468424279583078
1531,Focus Universal,FCUV,YES,,,,,,,-75.31,0.35,-4.92701,0.331,-4.92701,0.16627,4.808,Internet - Services,Computer and Technology,103.1,1.59,10.95,,0.4750571428571429
1540,5E Advanced Materials,FEAM,YES,-0.22,,,-0.51,0.5,0.3,,,-66.70701,12.85299,-66.713,-66.476,32.56299,Chemical - Specialty,Basic Materials,194.92,4.415,27.72,,
1542,Adherex Technologies,FENC,YES,-0.13,-0.07,3.0,-0.5,19.093,4.01329,,1.53,-22.73601,0.086,-23.71401,-23.56501,26.728,Medical - Drugs,Medical,203.37,7.7,10.35,2.524054040326983,-15.401967320261438
1543,Phoenix New Media Limited,FENG,YES,,,,,,,-29.54,113.92,-39.135,79.526,-15.898,-22.417,240.917,Broadcast Radio and Television,Consumer Discretionary,,2.63,5.33,,-0.19677844101123595
1546,FutureFuel,FF,YES,,,,,,,23.22,396.01,13.866,367.02099,15.211,25.76,273.776,Biofuels,Oils-Energy,335.66,7.67,10.61,,0.06504886240246459
1549,Faraday Future Intelligent Electric,FFIE,YES,,,,,,,,,-540.89301,0.0,-552.06897,-546.57398,66.40499,Automotive - Original Equipment,Auto-Tires-Trucks,164.87,0.2178,7.52,,
1553,First Foundation,FFWM,YES,0.11,0.17,3.0,0.65,313.333,74.36699,42.32,452.11,173.14599,61.845,110.512,124.704,11348.95996,Banks - Southwest,Finance,378.11,6.71,24.04,-0.3666589902905723,0.27582667934794625
1556,FG GROUP HLDGS,FGH,YES,,,,,,,52.56,41.24,-6.737,30.32099,-7.154,-5.562,18.21599,Medical - Products,Medical,37.97,1.95,3.12,,-0.1348690591658584
1560,Foghorn Therapeutics,FHTX,YES,-0.72,-0.74,2.0,-2.75,26.259,6.096,1357.77,19.23,-108.88201,0.0,-108.88201,-106.85601,351.39898,Medical - Drugs,Medical,280.92,6.72,18.01,0.3115372278177222,-5.556734789391576
1563,FIGS,FIGS,YES,0.01,0.03,6.0,0.03,534.018,131.285,20.55,505.83,38.727,151.375,21.186,31.075,356.5,Retail - Apparel and Shoes,Retail-Wholesale,1107.85,6.65,16.77,0.054228901799267294,0.06143368325326691
1564,PPDAI Group,FINV,YES,,,,,1855.98999,,8.63,1614.31,67.37699,295.57101,328.596,341.50399,2309.6101,Financial - Miscellaneous Services,Finance,1075.34,3.75,5.77,0.13951062023289368,0.21154796166783332
1565,FTAI Infrastructure Inc.,FIP,YES,,,,,,,117.91,261.97,-129.81,0.0,-153.584,-110.47201,277.80398,Real Estate - Operations,Finance,298.33,3.0,3.68,,-0.42169717906630527
1573,Homology Medicines,FIXX,YES,-0.54,-0.53,3.0,-2.04,4.63329,1.35,-90.56,3.21,1.19799,0.0,-5.00501,-5.659,181.01499,Medical - Generic Drugs,Medical,56.53,0.98,3.01,0.3669962617648912,-1.7629283489096572
1575,Franklin Wireless,FKWL,YES,,,,,,,-86.97,24.0,-4.70901,20.18099,-3.76301,-2.7916,48.38999,Computer - Networking,Computer and Technology,48.9,4.15,5.39,,-0.11631666666666667
1580,Full House Resorts,FLL,YES,0.15,0.02,2.0,0.18,270.54998,67.0,-9.37,163.28,8.15299,80.75199,-14.804,-5.225,202.921,Gaming,Consumer Discretionary,236.75,6.88,10.07,0.504990331663663,-0.03200024497795198
1583,Fluent,FLNT,YES,0.05,0.04,1.0,0.13,364.87799,95.942,9.68,361.13,-119.59101,267.48699,-123.33201,130.322,92.217,Advertising and Marketing,Business Services,60.23,0.75,1.75,0.010325019416019057,0.36087281588347686
